file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
1,0,1273,15305,239,511,7581,2,610,47,2017,6095,0.8038776048536006,0,206,52,1567,2017,48,18,0,1273,5
2,0,1817,19470,133,356,6263,1,2243,77,3405,11459,1.8293422733077906,0,752,65,1695,3405,63,31,0,1817,7
3,0,6321,12894,791,1176,6337,1,2372,82,368,9233,1.4567686967497633,0,1270,22,2858,368,2,78,0,6321,2
4,0,851,14133,82,1358,5632,1,1693,198,64,8533,1.5148233623291318,0,885,223,2677,64,2,27,0,851,3
5,0,2098,17267,1636,223,5443,1,1389,120,235,5790,1.0635562086700956,0,749,31,2106,235,9,34,0,2098,20
6,0,9961,20772,2232,569,6318,1,2010,76,823,7801,1.2345307801867385,0,2148,248,3626,823,5,34,0,9961,16
7,0,4038,18093,39,1631,10613,1,864,130,57,21471,2.022894290559638,0,122,7,4580,57,1,53,0,4038,119
8,0,1160,10267,196,941,4660,1,1124,63,932,4322,0.9272688264320961,0,344,7,269,932,4,17,0,1160,2
9,0,661,13690,1176,1578,6388,1,2007,35,32,2608,0.40820159649397403,0,8,3,2214,32,1,0,0,661,2
10,0,182,6451,5252,397,4181,1,341,9,90,8039,1.922285987565758,0,228,3155,2508,90,112,20,0,182,1
11,2,1029,12696,53,2842,5961,3909,1265,130,32,5838,0.9792016101979202,31,1186,69,1900,32,3,13,0,1029,0
12,0,2494,35225,1174,1862,10916,1,3402,119,271,17313,1.5858752404506733,0,3599,187,5705,271,17,33,0,2494,53
13,0,3120,44771,1362,407,5424,1,1859,157,2142,7312,1.3478341013824884,0,1092,753,2139,2142,10,12,0,3120,15
14,0,3120,44771,1362,407,5424,1,1859,157,2142,7312,1.3478341013824884,0,1092,753,2139,2142,10,12,0,3120,15
15,0,6105,27404,1630,155,5792,1,1699,47,176,5427,0.9368203003625065,0,1109,336,3068,176,5,16,0,6105,9
16,0,2305,58294,1053,1622,7403,1,1993,27,564,7700,1.0399783900594273,0,1065,577,2701,564,26,28,0,2305,7
17,0,6435,166215,415,2986,14690,1,5842,1214,1439,15748,1.0719488121979444,0,4163,249,6257,1439,9,41,0,6435,15
18,0,3181,8489,39,1035,7021,1,500,55,43,14881,2.1191968100256338,0,88,7,3454,43,1,49,0,3181,110
19,0,6435,166215,415,2986,14690,1,5842,1214,1439,15748,1.0719488121979444,0,4163,249,6257,1439,9,41,0,6435,15
20,0,1525,11920,4,405,2765,1,1471,65,735,4358,1.5755603759942154,0,1153,165,1382,735,0,11,0,1525,4
21,0,5717,95097,1558,5445,15124,4,6811,133,1108,24909,1.6468760330578511,0,7055,48,9148,1108,101,106,0,5717,80
22,0,2143,9866,2922,313,7664,1,690,202,183,3195,0.41682974559686886,0,121,18,2672,183,7,3,0,2143,0
23,0,1845,41767,2334,4856,19891,1,5141,146,619,9390,0.47204906495073395,1,985,152,2713,619,20,37,0,1845,30
24,0,2641,18073,1471,503,6032,1,1401,281,1569,9351,1.5499751367478867,0,872,80,2452,1569,7,30,0,2641,16
25,0,4329,44010,298,2256,10368,1,3234,247,403,11405,1.0999132028160865,0,2230,366,3580,403,5,25,0,4329,11
26,0,4329,44010,298,2256,10368,1,3234,247,403,11405,1.0999132028160865,0,2230,366,3580,403,5,25,0,4329,11
27,0,1134,16046,496,496,4058,1,2436,621,98,6455,1.5902931756590293,0,1812,152,2549,98,1,25,0,1134,21
28,0,6359,39369,275,1281,7353,1,2788,225,1307,8335,1.1333967908621159,0,2266,597,2646,1307,8,29,0,6359,42
29,0,366,45263,0,85,29238,1,2154,4,54,9985,0.3414959471938165,0,22,2521,24229,54,4,24,0,366,3
30,0,6292,10980,204,53,4922,1,1257,768,726,8594,1.7456835263050985,0,1198,35,1096,726,6,35,0,6292,4
31,0,2182,30352,523,1667,6665,1,3090,454,437,10737,1.6107110711071106,0,3420,296,4149,437,2,21,0,2182,4
32,0,3009,23052,201,933,4636,1,2584,287,1804,9494,2.0474444684062973,0,2799,86,3200,1804,1,13,0,3009,13
33,0,697,14071,164,1484,6420,1,1982,97,275,8727,1.3591340912630432,0,928,85,2141,275,17,31,0,697,8
34,0,1067,26687,113,913,5540,1,1462,55,1250,4807,0.8675329362930879,0,1051,235,1285,1250,11,25,0,1067,4
35,0,2621,21094,186,591,5784,1,2517,130,1518,11230,1.9412273120138288,0,2255,359,3636,1518,5,24,0,2621,9
36,0,7454,56093,1434,2791,17579,1,6639,621,1190,24274,1.380773606370876,0,4505,131,7480,1190,41,210,0,7454,82
37,0,3090,65115,1456,4998,14517,1,6284,344,6107,19709,1.357556137208982,0,5181,546,6755,6107,13,21,0,3090,73
38,0,3090,65115,1456,4998,14517,1,6284,344,6107,19709,1.357556137208982,0,5181,546,6755,6107,13,21,0,3090,73
39,0,2718,16289,2537,587,6189,1,1374,504,3659,10395,1.6793214862681745,0,1051,62,3331,3659,2,35,0,2718,43
40,0,1532,21600,2203,663,5127,1,1586,668,3387,6951,1.3554992199687987,0,860,156,2284,3387,1,16,0,1532,10
41,0,1625,13141,1470,332,6959,1,964,273,227,4516,0.6488505747126436,0,760,137,2033,227,6,33,0,1625,29
42,0,1625,13141,1470,332,6959,1,964,273,227,4516,0.6488505747126436,0,760,137,2033,227,6,33,0,1625,29
43,0,1497,14509,2012,350,5803,1,1177,62,2052,6524,1.124052377670572,0,612,134,1970,2052,13,23,0,1497,0
44,-3,1844,21190,497,3216,10322,1,1863,503,4617,15119,1.4645936258839485,2,628,26,3081,4617,12,62,0,1844,6
