file_name,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
-4-ans_frontend-relay-main.css-28-b5b01a19952fb688.webpack.css,0,813,2609,601,31,1679,1679,503,6,154,727,0.43273809523809526,0,28,20,23,154,2,25,0,813,3
0125e1088e5e73c9.css,0,276,6543,16,48,3774,3774,104,10,39,761,0.20158940397350994,0,38,103,6,39,0,1,0,276,3
01f4b874d13e53a477abac6bfaecdb85.min.css_ver=3.11.11.css,0,1167,17150,159,287,3836,3836,1908,511,132,5120,1.3343758144383633,0,936,82,631,132,26,73,0,1167,10
035_style_hd.min.css,0,205,5191,294,141,988,988,280,15,134,1357,1.372093023255814,0,432,681,352,134,0,9,0,205,9
0597379cb48d1325.css,0,82,1882,17,34,1320,1320,29,4,106,743,0.5624526873580621,0,6,13,4,106,3,9,0,82,6
08-styles.css,0,9,246,1,15,181,181,10,11,17,325,1.7857142857142858,0,9,7,2,17,0,0,0,9,6
0ad21b3f7d9235d8.css,0,350,1319,14,211,806,806,171,5,18,1164,1.4423791821561338,0,1,14,0,18,4,5,0,350,0
0bb37c64147e21bb.css,0,1159,1746,167,211,1044,1044,178,13,65,2507,2.399043062200957,0,91,5,36,65,26,20,0,1159,6
0f0ea027f8e96cd7.css,0,76,2507,58,170,1715,1715,77,36,66,1072,0.6247086247086248,0,28,108,17,66,4,5,0,76,25
0fa2b49b3f7ae5bb.css,0,526,2946,576,238,1595,1595,206,30,59,1588,0.9949874686716792,0,9,20,8,59,17,20,0,526,2
1084a8a32bf4fa49.css,0,433,4932,176,472,3238,3238,211,24,48,2056,0.6347638159925904,0,127,246,48,48,3,6,0,433,4
10d67f944f63b666.css,0,465,4600,1227,247,2509,2509,211,77,162,2965,1.1812749003984064,0,12,128,6,162,30,7,0,465,4
1128153828_css-head.css,0,1308,11119,751,589,3229,3229,776,40,3192,8576,2.655108359133127,1,865,77,383,3192,25,36,0,1308,39
12. Gradiente.css,0,0,10,0,0,5,5,0,1,0,16,2.6666666666666665,0,0,1,0,0,0,0,0,0,0
14.431c3036.chunk.css,0,273,10191,14,203,1102,1102,328,21,642,2177,1.9737080689029918,0,27,10,6,642,36,18,0,273,2
150035.user.css,0,1,8,2,0,13,13,1,1,1,3,0.21428571428571427,0,2,0,1,1,0,0,0,1,0
15e1bc3c12e19e4a.css,0,198,3837,458,229,2139,2139,374,44,158,1736,0.811214953271028,0,123,326,57,158,6,5,0,198,6
15efc06.css,0,307,5275,164,1437,3414,3414,436,63,343,4895,1.4333821376281113,0,778,52,742,343,8,27,0,307,1
16a345e0cb696b04.css,0,161,1296,31,61,596,596,169,5,34,796,1.3333333333333333,0,19,34,9,34,7,17,0,161,0
1723009492.css,0,281,11176,319,51,2475,2475,669,153,77,2759,1.114297253634895,0,470,25,296,77,4,24,0,281,10
1734545378-css26467234fcf2f24352a37bdc274710fa74be9c8402b5640a35a57c14a41fd.css,0,1639,15321,205,1286,5000,5000,1258,155,1777,6321,1.2639472105578884,1,1258,109,680,1777,102,23,0,1639,22
1804cbce7175ededae2f0289e3f2e19cef9dc1c5bff606c7c3fd1c512e82833f.css,0,368,4443,2,48,623,623,450,1,34,826,1.3237179487179487,0,263,0,203,34,0,3,0,368,0
1905208188c27fa0f236.css,0,1021,1500,0,167,734,734,259,10,59,1626,2.2122448979591836,0,23,51,14,59,20,4,0,1021,7
19856706ff475b02.css,0,48,891,0,190,321,321,60,4,0,270,0.8385093167701864,32,25,0,24,0,0,0,0,48,0
19a81816a03f.style.min.css_ver=1.7.6.1731547058.css,0,403,1398,33,122,705,705,91,15,114,961,1.3611898016997168,0,88,9,52,114,2,13,0,403,6
19a81816a03f.style.min.css_ver=1.7.6.1737292337.css,0,403,1398,33,122,705,705,91,15,114,961,1.3611898016997168,0,88,9,52,114,2,13,0,403,6
1af1e689739f4bef1893.css,0,115,4250,0,108,734,734,345,7,0,647,0.8802721088435375,51,26,2,3,0,0,0,0,115,0
1b418408f8eb581c.css,0,290,2142,45,90,917,917,225,27,20,1037,1.1296296296296295,0,97,9,21,20,0,3,0,290,2
1_site_screen_.css,0,464,1830,1,3,706,706,74,7,21,953,1.347949080622348,0,195,4,118,21,0,9,0,464,11
