file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
1,0,1167,17150,159,266,3836,1,2051,494,132,5120,1.3343758144383633,0,1125,82,1236,132,26,73,0,1167,10
2,0,1308,11119,751,164,3229,1,954,40,3192,8576,2.655108359133127,1,944,77,1624,3192,25,36,0,1308,39
3,0,1639,15321,205,1003,5000,1,1399,154,1777,6321,1.2639472105578884,1,1258,109,2631,1777,102,23,0,1639,22
4,0,3884,18697,116,687,5780,1,1795,40,127,10052,1.7387995156547311,0,927,132,1360,127,21,5,0,3884,7
5,0,413,7085,84,1352,4795,1,659,52,287,5735,1.1957881567973312,0,206,68,1096,287,8,15,0,413,13
6,0,686,8459,39,773,4504,1,483,17,78,9051,2.0091009988901223,0,53,7,1932,78,1,19,0,686,48
7,0,2648,13354,39,1607,7510,1,363,125,85,19113,2.5446678205298894,0,76,7,3699,85,1,184,0,2648,81
8,0,9374,10817,0,0,14,1,1,0,0,21112,1407.4666666666667,0,1,0,0,0,0,0,0,9374,0
9,0,1551,25165,1970,1044,7784,1,1814,293,1896,11373,1.4608863198458575,0,1100,271,2966,1896,42,26,0,1551,26
10,0,2207,17728,349,2349,6845,1,1674,128,335,11474,1.6760151913526147,0,830,112,2260,335,52,135,0,2207,6
11,0,3355,29565,64,393,5702,1,2533,91,712,7418,1.3007189198667368,0,1870,11,1575,712,4,22,0,3355,5
12,0,1588,14097,175,372,4469,1,1445,93,2095,8232,1.8416107382550335,0,567,28,1191,2095,62,16,0,1588,6
13,0,2310,41569,219,2824,10888,1,8046,396,2422,13536,1.2430893562310588,0,2603,113,6519,2422,17,36,0,2310,8
14,0,23,4954,8,649,2862,1,1361,123,166,5386,1.8812434509256024,0,322,1460,845,166,5,4,0,23,11
15,0,3922,42235,153,118,31231,1,1952,15,1073,13202,0.4227074795081967,0,20,1513,27639,1073,6,45,0,3922,3
16,0,705,18202,122,150,11005,1,5622,6,97,1976,0.17953843358168273,0,62,172,7148,97,24,10,0,705,10
17,0,2069,8093,202,235,2718,1,1675,19,139,5654,2.0794409709452006,0,349,63,669,139,11,12,0,2069,5
18,0,1216,10277,733,149,6203,1,1405,34,135,3663,0.5904255319148937,0,848,407,1646,135,6,48,0,1216,4
19,0,1622,20176,416,2444,17111,1,532,19,158,7894,0.46131369798971483,0,578,177,3210,158,153,37,0,1622,56
20,0,9477,32780,0,509,22598,1,543,213,354,1752,0.07752555422806319,0,454,54,18839,354,3,18,0,9477,5
21,0,391,43646,0,1157,1656,1639,760,19,0,5115,3.0869040434520216,1339,51,8,39,0,0,0,0,391,0
22,0,2297,12327,2041,617,6027,1,1795,75,401,7683,1.274552090245521,0,600,355,2129,401,43,38,0,2297,0
23,0,667,10084,37,173,6932,1,2071,16,250,4181,0.603057839319198,0,202,104,3352,250,22,12,0,667,10
24,0,772,18437,904,423,5128,1,2465,504,125,5165,1.0070189120686293,0,1757,38,2090,125,10,19,0,772,7
25,0,1317,18226,239,803,4452,1,1603,80,568,6052,1.3590837637547721,0,1140,42,1841,568,12,23,0,1317,16
26,0,1334,8841,40,957,6220,1,313,71,109,14553,2.3393345121363125,0,67,7,2709,109,1,15,0,1334,129
27,0,537,9884,284,742,4332,1,1557,188,78,6784,1.5656588968382184,55,1236,89,2111,78,2,27,0,537,6
28,0,180,14410,65,4912,8167,1,1489,198,175,4239,0.5189764936336925,2,3373,79,6407,175,7,20,0,180,1
