file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
1,0,813,2609,601,30,1679,1,562,6,154,727,0.43273809523809526,0,42,20,58,154,2,25,0,813,3
2,0,276,6543,16,35,3774,1,110,8,39,761,0.20158940397350994,0,97,103,245,39,0,1,0,276,3
3,0,205,5191,294,93,988,1,289,15,134,1357,1.372093023255814,0,313,681,404,134,0,9,0,205,9
4,0,82,1882,17,23,1320,1,55,4,106,743,0.5624526873580621,0,29,13,511,106,3,9,0,82,6
5,0,9,246,1,9,181,1,12,10,17,325,1.7857142857142858,0,12,7,36,17,0,0,0,9,6
6,0,350,1319,14,136,806,1,190,5,18,1164,1.4423791821561338,0,6,14,123,18,4,5,0,350,0
7,0,1159,1746,167,138,1044,1,212,7,65,2507,2.399043062200957,0,150,5,305,65,26,20,0,1159,6
8,0,76,2507,58,117,1715,1,114,35,66,1072,0.6247086247086248,0,56,108,444,66,4,5,0,76,25
9,0,526,2946,576,181,1595,1,240,30,59,1588,0.9949874686716792,0,42,20,226,59,17,20,0,526,2
10,0,433,4932,176,369,3238,1,278,20,48,2056,0.6347638159925904,0,216,246,1017,48,3,6,0,433,4
11,0,465,4600,1227,192,2509,1,242,40,162,2965,1.1812749003984064,0,88,128,955,162,30,7,0,465,4
12,0,0,10,0,0,5,1,0,1,0,16,2.6666666666666665,0,0,1,0,0,0,0,0,0,0
13,0,273,10191,14,183,1102,1,348,21,642,2177,1.9737080689029918,0,97,10,217,642,36,18,0,273,2
14,0,1,8,2,0,13,1,8,1,1,3,0.21428571428571427,0,2,0,12,1,0,0,0,1,0
15,0,198,3837,458,172,2139,1,414,40,158,1736,0.811214953271028,0,360,326,904,158,6,5,0,198,6
16,0,307,5275,164,1038,3414,1,532,53,343,4895,1.4333821376281113,0,831,52,1617,343,8,27,0,307,1
17,0,161,1296,31,33,596,1,198,5,34,796,1.3333333333333333,0,29,34,86,34,7,17,0,161,0
18,0,281,11176,319,38,2475,1,744,152,77,2759,1.114297253634895,0,655,25,518,77,4,24,0,281,10
19,0,368,4443,2,29,623,1,474,1,34,826,1.3237179487179487,0,347,0,290,34,0,3,0,368,0
20,0,1021,1500,0,121,734,1,293,10,59,1626,2.2122448979591836,0,34,51,193,59,20,4,0,1021,7
21,0,48,891,0,153,321,1,91,3,0,270,0.8385093167701864,32,59,0,167,0,0,0,0,48,0
22,0,403,1398,33,78,705,1,125,13,114,961,1.3611898016997168,0,133,9,264,114,2,13,0,403,6
23,0,403,1398,33,78,705,1,125,13,114,961,1.3611898016997168,0,133,9,264,114,2,13,0,403,6
24,0,115,4250,0,102,734,45,427,3,0,647,0.8802721088435375,51,50,2,597,0,0,0,0,115,0
25,0,290,2142,45,55,917,1,242,26,20,1037,1.1296296296296295,0,149,9,164,20,0,3,0,290,2
26,0,464,1830,1,2,706,1,83,7,21,953,1.347949080622348,0,168,4,116,21,0,9,0,464,11
27,0,2157,9862,305,311,3970,1,1291,446,301,5373,1.353059682699572,0,878,4,1214,301,4,15,0,2157,24
28,0,149,1575,4,11,394,1,142,4,236,1141,2.8886075949367087,0,216,0,224,236,2,8,0,149,0
29,0,64,850,4,63,484,1,80,5,380,1148,2.3670103092783505,0,40,48,95,380,0,1,0,64,6
30,0,528,7151,100,210,1900,1,609,41,102,2004,1.0541820094687007,0,457,136,779,102,5,24,0,528,4
31,0,42,809,7,149,570,1,162,17,8,958,1.6777583187390543,0,3,1,151,8,3,11,0,42,1
32,0,5,69,0,2,84,1,4,6,17,130,1.5294117647058822,0,5,3,0,17,0,0,0,5,4
33,0,79,1345,38,43,690,1,246,0,61,1459,2.1114327062228653,0,36,5,208,61,4,22,0,79,0
34,0,142,790,8,310,844,1,47,6,49,1060,1.2544378698224852,0,16,1,258,49,1,6,0,142,3
35,0,305,1003,0,58,244,244,82,5,0,36,0.1469387755102041,223,14,3,12,0,0,0,0,305,0
36,0,788,6349,20,62,2523,1,548,10,82,2840,1.1251980982567353,0,197,19,664,82,27,8,0,788,3
37,0,755,7656,1778,205,3375,1,446,66,184,3794,1.1238151658767772,2,201,154,1577,184,8,12,0,755,1
38,0,156,4729,24,679,2864,1,86,28,22,1762,0.6150087260034904,0,48,217,1225,22,1,6,0,156,3
39,0,45,1568,133,13,1021,1,88,0,22,390,0.3816046966731898,0,8,19,240,22,1,6,0,45,10
40,0,385,1795,4,98,941,912,36,5,11,1000,1.0615711252653928,0,111,7,65,11,0,13,0,385,141
41,0,466,2587,20,131,1002,1,665,0,44,1788,1.7826520438683948,0,221,0,347,44,3,9,0,466,0
42,0,48,446,4,92,238,1,32,11,11,872,3.6485355648535567,0,24,3,19,11,1,1,0,48,2
43,0,119,1343,19,49,532,1,131,66,274,1077,2.020637898686679,2,71,16,187,274,1,14,0,119,2
44,0,245,4100,105,93,2030,1,181,33,157,1255,0.6179222058099458,0,106,31,516,157,5,5,0,245,7
45,0,4,14,0,0,6,1,0,0,44,65,9.285714285714286,0,0,0,0,44,0,0,0,4,0
46,0,384,5231,87,326,955,1,699,67,24,1679,1.756276150627615,0,611,18,619,24,1,25,0,384,0
47,0,215,2728,8,131,1917,1,297,16,66,1579,0.8232533889468197,0,120,133,334,66,39,7,0,215,5
48,0,290,1787,34,123,928,1,255,9,43,1830,1.969860064585576,0,280,3,376,43,6,11,0,290,0
49,0,303,1696,0,116,545,1,133,117,15,706,1.293040293040293,0,92,0,184,15,3,0,0,303,1
50,0,84,667,1,84,572,1,41,2,32,1294,2.2582897033158815,0,7,0,148,32,1,5,0,84,0
51,0,450,2515,8,275,1427,1,580,3,163,1854,1.2983193277310925,0,236,34,417,163,60,2,0,450,24
52,0,311,1747,25,271,1159,1,243,52,45,1897,1.6353448275862068,0,226,2,455,45,22,4,0,311,0
53,0,14,104,0,10,40,40,4,2,0,78,1.9024390243902438,4,8,1,4,0,0,0,0,14,0
54,0,0,6335,0,0,2470,1,0,0,0,1703,0.6891946580331849,0,0,0,0,0,0,0,0,0,0
55,0,53,1039,14,228,865,1,324,20,4,1032,1.1916859122401848,0,160,19,395,4,17,2,0,53,0
56,0,570,1673,58,338,1580,1,251,11,40,2331,1.4743833017077799,0,22,30,327,40,10,10,0,570,0
57,0,1,333,0,5,209,69,200,4,2,3089,14.709523809523809,0,199,0,173,2,0,0,0,1,0
58,0,1,333,0,5,209,69,200,4,2,3089,14.709523809523809,0,199,0,173,2,0,0,0,1,0
59,0,158,1732,13,34,687,1,73,2,1,710,1.0319767441860466,0,26,44,303,1,2,1,0,158,0
60,0,500,2007,13,118,760,1,169,39,597,1087,1.42838370565046,0,145,4,216,597,0,5,0,500,0
61,0,0,352,0,86,88,1,0,0,0,440,4.943820224719101,0,0,0,0,0,0,0,0,0,0
62,0,19,24,0,2,25,1,4,0,15,50,1.9230769230769231,0,1,0,5,15,1,2,0,19,0
63,0,191,1716,4,26,494,1,189,4,43,551,1.1131313131313132,0,146,8,112,43,0,0,0,191,0
64,0,1,333,0,5,209,69,200,4,2,3089,14.709523809523809,0,199,0,173,2,0,0,0,1,0
65,0,1,333,0,5,209,69,200,4,2,3089,14.709523809523809,0,199,0,173,2,0,0,0,1,0
