file_name,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors
-4-ans_frontend-relay-main.css-28-b5b01a19952fb688.webpack.css,0,813,2609,601,31
0125e1088e5e73c9.css,0,276,6543,16,48
01f4b874d13e53a477abac6bfaecdb85.min.css_ver=3.11.11.css,0,1167,17150,159,287
035_style_hd.min.css,0,205,5191,294,141
0597379cb48d1325.css,0,82,1882,17,34
08-styles.css,0,9,246,1,15
0ad21b3f7d9235d8.css,0,350,1319,14,211
0bb37c64147e21bb.css,0,1159,1746,167,211
0f0ea027f8e96cd7.css,0,76,2507,58,170
0fa2b49b3f7ae5bb.css,0,526,2946,576,238
1084a8a32bf4fa49.css,0,433,4932,176,472
10d67f944f63b666.css,0,465,4600,1227,247
1128153828_css-head.css,0,1308,11119,751,589
12. Gradiente.css,0,0,10,0,0
14.431c3036.chunk.css,0,273,10191,14,203
150035.user.css,0,1,8,2,0
15e1bc3c12e19e4a.css,0,198,3837,458,229
15efc06.css,0,307,5275,164,1437
16a345e0cb696b04.css,0,161,1296,31,61
1723009492.css,0,281,11176,319,51
1734545378-css26467234fcf2f24352a37bdc274710fa74be9c8402b5640a35a57c14a41fd.css,0,1639,15321,205,1286
1804cbce7175ededae2f0289e3f2e19cef9dc1c5bff606c7c3fd1c512e82833f.css,0,368,4443,2,48
1905208188c27fa0f236.css,0,1021,1500,0,167
19856706ff475b02.css,0,48,891,0,190
19a81816a03f.style.min.css_ver=1.7.6.1731547058.css,0,403,1398,33,122
19a81816a03f.style.min.css_ver=1.7.6.1737292337.css,0,403,1398,33,122
1af1e689739f4bef1893.css,0,115,4250,0,108
1b418408f8eb581c.css,0,290,2142,45,90
1_site_screen_.css,0,464,1830,1,3
2021_telefonica.css_v=556.css,0,2157,9862,305,555
2023homepro_pc_20240207.css,0,149,1575,4,11
2027453dd42bb02d.css,0,64,850,4,119
23aPt7rcP5Io8Cw==.css,0,528,7151,100,313
2578af139c626c28.css,0,42,809,7,257
28-style.css,0,5,69,0,3
293d1c9734b78908.css,0,79,1345,38,138
2b614e563c91c1fc.css,0,142,790,8,415
2c1547685965c071.css,0,305,1003,0,58
2cea7ed.css,0,788,6349,20,66
2d65390b66060c59.css,0,755,7656,1778,294
2d7aa409e5cffe3c.css,0,156,4729,24,742
2df84275f743393ec5bbf76327a6367f-v2.css,0,3884,18697,116,980
303ad6247f599073.css,0,45,1568,133,16
313492416672e315d8ea58f829a7a1fd.css_v=29.css,0,385,1795,4,102
3474914fe9317f26.css,0,466,2587,20,234
35ec781a0896b50a.css,0,48,446,4,97
36.3c0bba2639e45106025e.css,0,119,1343,19,102
36525e9.css,0,413,7085,84,1584
365b24eab900fa98.css_dpl=dpl_A5TtUkAb84sxHJ9K9QaQBdUUP29c.css,0,245,4100,105,156
3ab37a58b73d590e6a9637f943ed060c1619550182eda0d3887a5175ae30da5a.css,0,686,8459,39,1647
3d-skew-sidemenu.css,0,4,14,0,0
3d45e03c7d54c07935e5ee0b2e9b2d5f.css,0,384,5231,87,335
3f3ebc1eb72bac63.css,0,215,2728,8,139
3fc60d38f8844162f614def2adb2dcd2.3ffbb3d5d.min.css,0,2648,13354,39,3395
40fd4b905e40e7e3.css,0,290,1787,34,238
4184.bf0e6f38.css,0,303,1696,0,192
4208fa350424159b.css,0,84,667,1,168
4252-06dde43fec7c.css,0,9374,10817,0,0
43138d6839d5954c.css,0,450,2515,8,373
43c3afa43a68586c.css,0,311,1747,25,435
444.css,0,14,104,0,10
4477bfc1a89a1473.css,0,1551,25165,1970,1385
4498845d.css,0,0,6335,0,0
46f2f16.css,0,2207,17728,349,2398
470f247120cfb297.css,0,53,1039,14,326
4b15c8f74f845671.css,0,570,1673,58,352
4b6b27d98e2c26f64ae53c2073ae9be982e055657a26519bbf962a21e0abec29.css,0,3355,29565,64,570
4ba48ef9.8cb3d11c.chunk.css,0,1588,14097,175,391
4c-3fc917_ver=2.0&_cf=02242021_3231 (1).css,0,1,333,0,5
4c-3fc917_ver=2.0&_cf=02242021_3231.css,0,1,333,0,5
4f1cb0d533f57b79.css,0,158,1732,13,54
5.css,0,500,2007,13,123
500.css,0,0,352,0,87
502407857.staticassets.min.css,0,2310,41569,219,3549
5084.69a3ae21.css,0,19,24,0,2
50c59f3530027476143cfd4611cfd098353975a6507b348f26c01f04a157b3fb.css,0,191,1716,4,38
51-40faf7_ver=2.0 (1).css,0,1,333,0,5
51-40faf7_ver=2.0.css,0,1,333,0,5
5100efdf755a4414825b286688c602ad.css,0,23,4954,8,770
5261a8b431896d57.css,0,110,2955,17,150
56850dc7e4d0d9f1.css,0,3922,42235,153,137
56b5c4ede09f1767.css,0,86,2023,28,75
56f58930beed3331.css,0,705,18202,122,179
572fdf9a3d43c23b.css,0,128,2852,19,162
574b34a9c10831feb8fa.css,0,2069,8093,202,410
58a34cd43376a546.css,0,895,8657,81,296
5a29371b593f3c36b11c.css,0,134,1930,11,122
5bd895ef80d19eb0.css,0,103,713,0,272
5c508cf664eb19ef.css,0,459,4368,19,213
5e33ec529ed46c90.css,0,1216,10277,733,197
5lHH52Au5pPcyf8QhNEWE-MbVu6J6TSgCAgbkPiBd1Gm.css,0,1622,20176,416,2460
6045054f55d6cb66.css,0,458,1793,1,266
6108.230dac857949d37ea8ad.css,0,239,4021,106,784
66f3a18d81b1f90f.css,0,136,3762,155,112
6915.5048297dd5fe4102.css,0,10698,2866,179,53
6ede6b85e3a51adc.css,0,9477,32780,0,563
7047-966aa37d.css,0,99,2998,1,201
73399.9eb7ac2c4d8bcf923d85.css,0,253,1296,0,36
73b510120.css,0,374,6916,75,146
746f9df.css,0,446,5781,436,838
74de899525968bfc.css,0,280,1787,24,296
75b70099a3cc6a49.css,0,83,2894,18,73
7681.0a0130ca87ea9c1afa7d.css,0,44,1121,1,109
78646497.adbd07a7.chunk.css,0,553,2326,86,93
7932.216a26f4.ce446c17acbd7775a857.css,0,213,1135,10,119
7ada7053dce6cb48.css,0,146,2894,55,130
7b7747ec045ae606eb720a1222f56098-app.cb3a79cf.css,0,140,1794,3,53
7da447a85224a884.css_dpl=dpl_3A2Z8eMigbuGovJ5WxWZeYsbWGUe.css,0,274,6757,168,168
7f2b756f38d6afa4.css,0,509,4441,875,120
7f774cc2a0bbf5f5.css,0,158,2240,35,30
7ff3ad2736a48955.css,0,86,1347,0,871
7x0uk.css,0,46,1917,2,59
801b51c780494c45.css,0,0,826,2,221
804aae637969117c.css_dpl=dpl_7cYdTfGbFi5vUPtvmaj3spQosF55.css,0,391,43646,0,1159
807e062798fcf92e.css,0,47,3013,58,358
8247.69a3ae21.css,0,19,24,0,2
8260.6def5544fb9ad623e441.css,0,1085,88,0,1
8413.c89a8cb1.css,0,60,1756,32,87
847a503b137fbfd4.css,0,122,2056,140,102
848376ea2064b368.css,0,2297,12327,2041,813
875b6d0a7e17e874.css,0,167,1069,0,121
8976901e0e13ce78.css,0,201,1941,12,173
8a244f3fd98cc110.css,0,97,1266,0,33
8aa582a94f90.css,0,964,5302,78,371
8d42ad057a275c0a.css,0,273,2224,73,199
