file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
1,0,55,2402,30,1,39,3,20,5,2,657,16.425,45,19,0,25,2,0,0,0,55,0
2,0,780,5207,67,45,1671,1,349,79,158,1901,1.1369617224880382,0,336,19,245,158,0,9,0,780,26
3,0,276,1208,13,27,878,1,98,2,118,1009,1.147895335608646,0,30,289,614,118,4,6,0,276,2
4,0,217,12741,101,72,2812,1,1176,51,325,4856,1.7262708851759687,1,368,16,313,325,6,32,0,217,1
5,0,270,6974,40,339,3897,1,697,228,414,7381,1.8935351462288352,0,269,11,535,414,6,45,0,270,8
6,0,1671,12976,145,344,3792,1,993,132,351,2721,0.7173741102030056,0,716,28,851,351,8,18,0,1671,13
7,0,36,8497,51,907,2674,1,169,6,499,1039,0.388411214953271,0,321,2,2375,499,1,0,0,36,2
8,0,300,1247,22,52,1045,1,44,4,37,916,0.875717017208413,0,14,4,27,37,5,9,0,300,3
9,0,208,1018,9,104,459,1,105,1,112,931,2.023913043478261,0,29,1,282,112,0,8,0,208,0
10,0,1327,9243,912,218,3847,1,1805,55,2698,8195,2.1296777546777546,0,505,8,1289,2698,6,31,0,1327,17
11,0,57,2977,8,112,1490,1,106,21,116,739,0.4956405097250168,0,59,5,388,116,1,2,0,57,2
12,0,96,729,9,127,522,1,49,5,402,1153,2.204588910133843,0,16,31,129,402,34,2,0,96,0
13,0,916,9526,82,194,2425,1,864,27,1274,3936,1.6224237427864798,0,592,20,690,1274,1,19,0,916,17
14,0,38,1342,0,15,983,1,14,3,41,537,0.5457317073170732,0,9,52,231,41,3,4,0,38,3
15,0,1060,7801,32,714,3092,1,1108,10,943,3037,0.9818946007112835,0,618,30,484,943,4,39,0,1060,1
16,0,542,1272,0,3,1026,1,32,26,3,1787,1.7400194741966895,0,75,4,28,3,0,10,0,542,0
17,0,237,1765,40,10,762,1,36,334,20,795,1.0419397116644824,0,78,4,75,20,0,1,0,237,0
18,0,51,533,0,144,318,317,104,3,1,135,0.4231974921630094,7,118,7,111,1,0,0,0,51,0
19,0,306,3059,12,261,2086,1,132,22,45,1422,0.6813608049832295,0,302,25,1264,45,4,9,0,306,2
20,0,951,4297,30,1,1611,1,164,22,18,3490,2.165012406947891,0,378,2,342,18,1,41,0,951,1
21,0,441,5620,11,232,2406,1,756,20,97,3587,1.4902368093061902,1,226,30,332,97,37,23,0,441,0
22,0,465,7528,51,977,2694,1,1346,15,49,3991,1.4808905380333952,0,1070,23,1553,49,2,8,0,465,2
23,0,227,1541,8,25,553,1,222,2,87,830,1.4981949458483754,0,51,87,56,87,6,5,0,227,0
24,0,291,3809,147,580,2281,1,383,47,42,2739,1.2002629272567922,0,591,233,1015,42,6,13,0,291,5
25,0,788,8475,1428,469,3964,1,547,14,3336,6298,1.5883984867591425,0,284,10,1471,3336,23,18,0,788,12
26,0,162,2079,46,105,1264,1,187,8,232,1169,0.9241106719367589,0,36,4,95,232,3,1,0,162,1
27,0,223,7505,2811,136,4312,1,319,55,57,2651,0.6146533735219105,1,205,15,2128,57,3,7,0,223,31
28,0,402,1443,83,55,823,1,218,46,184,1445,1.7536407766990292,1,152,5,260,184,0,14,0,402,0
29,0,87,2017,10,189,1236,1,265,54,79,1764,1.4260307194826192,0,170,19,254,79,11,7,0,87,8
30,0,441,4022,38,61,1197,1,494,66,10,1198,1.0,0,214,35,201,10,7,13,0,441,0
31,0,730,3175,56,15,1295,1,302,30,75,1510,1.1651234567901234,0,294,8,196,75,0,19,0,730,2
32,0,413,3027,9,89,1397,1,166,14,71,1549,1.108011444921316,0,142,7,399,71,0,10,0,413,6
33,0,453,1701,53,7,949,1,172,6,27,1643,1.7294736842105263,0,69,42,28,27,3,3,0,453,6
34,0,1671,8346,419,283,3722,1,827,108,245,4714,1.2661831856030084,0,637,19,1026,245,1,14,0,1671,35
35,0,542,4900,36,124,1409,1,784,8,125,2165,1.5354609929078014,0,206,26,359,125,5,5,0,542,8
